"Removed" "Duration" "Bee"
"1" 0.0700000002980232 2 "Queen"
"2" 0.100000001490116 5 "Queen"
"3" 0.109999999403954 7 "Queen"
"4" 0.119999997317791 11 "Queen"
"5" 0.150000005960464 12 "Queen"
"6" 0.189999997615814 11 "Queen"
"7" 0.280000001192093 9 "Queen"
"8" 0.310000002384186 9 "Queen"
"9" 0.300000011920929 16 "Queen"
"10" 0.340000003576279 17 "Queen"
"11" 0.349999994039536 12 "Queen"
"12" 0.389999985694885 14 "Queen"
"13" 0.379999995231628 23 "Queen"
"14" 0.400000005960464 35 "Queen"
"15" 0.419999986886978 21 "Queen"
"16" 0.400000005960464 10 "Queen"
"17" 0.409999996423721 9 "Queen"
"18" 0.419999986886978 7 "Queen"
"19" 0.479999989271164 11 "Queen"
"20" 0.479999989271164 13 "Queen"
"21" 0.469999998807907 14 "Queen"
"22" 0.490000009536743 16 "Queen"
"23" 0.5 14 "Queen"
"24" 0.509999990463257 17 "Queen"
"25" 0.529999971389771 22 "Queen"
"26" 0.579999983310699 13 "Queen"
"27" 0.589999973773956 13 "Queen"
"28" 0.649999976158142 12 "Queen"
"29" 0.600000023841858 19 "Queen"
"30" 0.600000023841858 23 "Queen"
"31" 0.689999997615814 21 "Queen"
"32" 0.699999988079071 27 "Queen"
"33" 0.699999988079071 28 "Queen"
"34" 0.509999990463257 58 "Queen"
"35" 0.699999988079071 15 "Queen"
"36" 0.280000001192093 3 "Worker"
"37" 0.370000004768372 12 "Worker"
"38" 0.519999980926514 10 "Worker"
"39" 0.649999976158142 17 "Worker"
"40" 0.759999990463257 24 "Worker"
"41" 0.889999985694885 33 "Worker"
"42" 0.740000009536743 44 "Worker"
"43" 0.699999988079071 46 "Worker"
"44" 0.790000021457672 48 "Worker"
"45" 0.779999971389771 51 "Worker"
"46" 0.740000009536743 64 "Worker"
"47" 0.769999980926514 78 "Worker"
